"Permitir_Inmigrantes_Etnicos","Permitir_Inmigrantes_Pobres","Impacto_Economico_Inmigracion","Impacto_Cultural_Inmigracion","Impacto_Calidad_Vida_Inmigracion","Edad_Encuestado","Anios_Educacion_Completados","Satisfaccion_Ingresos_Hogar","Pais","Genero","Tipo_Domicilio","Rango_Edad","Region_Geografica","Nivel_Educacion_Agrupado"
1,1,8,9,5,65,14,2,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,1,6,6,7,18,12,1,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,7,7,7,44,18,2,"Germany","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,9,10,5,59,19,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,5,5,5,52,13,2,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,2,9,8,6,31,17,1,"Germany","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,10,10,10,46,14,1,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,8,8,7,57,16,1,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,7,8,7,45,16,1,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,0,2,1,46,14,2,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,8,6,5,63,12,2,"Germany","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,8,7,42,18,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,5,5,45,14,2,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,9,9,8,65,18,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,6,5,32,15,2,"Germany","Female","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
1,2,10,10,9,55,20,1,"Germany","Male","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
3,2,5,5,6,83,9,2,"Germany","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,3,4,4,45,13,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,1,3,1,59,12,3,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,7,8,5,71,12,1,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,7,7,52,20,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
3,2,1,5,1,54,13,2,"Germany","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,3,3,0,66,12,2,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,10,10,29,17,3,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,10,9,5,58,23,1,"Germany","Male","A big city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
1,3,10,7,7,54,19,1,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,8,5,6,58,15,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,3,2,3,71,12,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,3,4,4,84,11,1,"Germany","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,2,4,5,5,57,17,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,4,6,3,0,43,21,2,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,7,8,5,44,18,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,2,6,4,5,16,10,1,"Germany","Female","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
2,2,7,6,5,33,16,2,"Germany","Male","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
1,1,10,10,10,68,13,1,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,8,10,7,79,10,1,"Germany","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
4,4,0,5,1,69,12,2,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,3,4,5,5,66,14,1,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,5,5,57,15,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,5,5,2,42,19,1,"Germany","Male","Farm or home in countryside","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,7,6,6,46,16,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,6,5,28,17,1,"Germany","Male","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,9,9,8,73,9,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,2,7,7,5,57,11,2,"Germany","Male","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Primaria"
2,2,8,8,8,39,18,1,"Germany","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,6,5,59,13,2,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,3,3,3,4,32,17,1,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
4,4,2,2,1,54,13,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,3,8,5,5,69,17,1,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
1,2,5,5,4,60,12,2,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,8,9,35,13,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,3,5,5,5,76,19,1,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Universitaria y Posgrado"
3,4,3,2,2,62,14,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,9,8,8,66,12,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,1,5,4,6,36,13,2,"Germany","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,3,9,5,20,14,2,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
2,2,6,6,6,44,14,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,2,5,4,4,24,14,2,"Germany","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,2,1,3,53,15,2,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,2,7,7,7,29,21,1,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,8,9,8,29,17,2,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,7,6,5,87,11,2,"Germany","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,8,7,6,60,13,1,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,8,10,9,46,17,1,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,3,7,5,2,55,13,1,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,7,6,5,39,12,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,2,5,6,6,57,16,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,3,5,57,19,2,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,9,9,8,67,19,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,7,9,9,19,12,1,"Germany","Female","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,10,10,8,75,20,1,"Germany","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,9,5,8,76,17,1,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
3,3,2,2,4,65,9,2,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,2,10,7,6,25,16,1,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
1,1,10,10,10,86,16,1,"Germany","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
1,2,8,6,6,90,15,1,"Germany","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
1,1,9,8,9,27,24,2,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Universitaria y Posgrado"
2,1,10,5,5,77,14,1,"Germany","Male","A big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,7,7,7,62,15,2,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
1,1,10,9,8,70,12,1,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,9,9,28,12,2,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,7,8,7,82,14,1,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
4,3,2,3,1,63,16,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
1,1,8,8,8,47,14,2,"Germany","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,1,9,7,5,44,13,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,3,8,5,4,52,18,1,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,5,8,5,63,18,2,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,4,4,5,0,74,11,2,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
3,3,5,5,7,67,19,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
3,2,4,5,5,78,7,1,"Germany","Female","Country village","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,7,6,5,53,13,2,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,8,6,5,29,19,1,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,7,8,5,68,10,1,"Germany","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
2,2,7,5,5,62,15,1,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,8,7,6,58,15,2,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,8,9,8,55,18,1,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,6,7,4,79,12,1,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,7,7,6,84,13,2,"Germany","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
3,2,5,8,5,58,20,2,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
2,4,8,8,5,72,14,1,"Germany","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,6,3,1,30,10,3,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
3,3,0,5,4,86,10,1,"Germany","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,3,4,3,1,35,14,2,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
1,1,9,9,9,34,19,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,5,7,7,29,16,1,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,5,5,49,14,2,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,9,9,9,28,14,1,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,45,14,2,"Germany","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,10,10,10,69,22,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,4,6,5,60,10,4,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
1,1,10,7,10,34,19,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,9,5,6,28,17,2,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
1,1,7,8,7,45,19,1,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,6,6,7,51,20,2,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,8,7,6,70,12,1,"Germany","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,5,3,4,64,16,1,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,7,7,64,13,1,"Germany","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,2,6,7,7,33,15,1,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
1,1,8,7,7,67,14,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,9,10,10,33,19,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,7,8,8,45,18,1,"Germany","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,4,6,3,32,18,2,"Germany","Male","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
4,3,3,4,0,65,13,2,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,10,10,10,28,17,2,"Germany","Female","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,8,8,29,14,1,"Germany","Male","Farm or home in countryside","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,6,5,6,23,16,2,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
3,3,2,5,3,47,16,2,"Germany","Female","Suburbs or outskirts of big city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,7,5,6,72,12,3,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,2,8,5,5,24,13,2,"Germany","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
2,2,6,7,5,29,17,1,"Germany","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,5,3,80,11,2,"Germany","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
1,2,9,8,7,66,15,1,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,4,4,4,74,15,2,"Germany","Male","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,3,1,1,0,34,13,2,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
3,3,4,4,3,44,15,2,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
1,1,9,9,9,54,14,1,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,9,10,8,44,20,1,"Germany","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
3,3,5,5,3,55,13,1,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,2,6,5,1,62,17,2,"Germany","Male","Farm or home in countryside","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,2,3,7,7,20,12,1,"Germany","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,3,8,2,27,14,1,"Germany","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,7,8,8,34,13,2,"Germany","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,2,8,7,6,60,12,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,1,7,7,8,42,16,2,"Germany","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,3,5,5,6,71,17,1,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,5,5,25,13,2,"Germany","Female","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
3,3,7,8,5,32,25,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
3,2,4,6,4,56,12,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
2,1,7,6,5,41,14,2,"Germany","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
2,3,10,9,7,43,0,4,"Germany","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Sin Educación Formal"
2,2,8,8,5,72,20,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,3,7,6,3,58,14,2,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
1,1,9,8,8,30,19,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Universitaria y Posgrado"
4,2,0,1,9,41,16,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,4,4,7,4,62,13,2,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,6,5,5,25,12,3,"Germany","Male","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
4,4,1,1,1,65,9,4,"Germany","Male","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
1,2,3,8,4,83,13,1,"Germany","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,3,8,7,6,86,17,1,"Germany","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
2,3,5,5,4,68,13,2,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,6,7,5,84,11,2,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,6,4,6,41,8,2,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,3,7,6,5,73,15,2,"Germany","Male","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,2,9,8,3,65,13,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,4,0,5,1,63,12,2,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,3,6,4,35,13,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Secundaria"
1,2,7,6,4,42,10,3,"Germany","Male","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
1,1,8,8,6,17,10,2,"Germany","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
2,3,5,4,5,33,15,1,"Germany","Male","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
3,3,7,5,5,87,15,2,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
3,2,6,3,5,52,16,1,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,5,6,5,29,13,1,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
2,2,7,3,5,68,13,2,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,7,10,5,18,12,1,"Germany","Female","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
2,2,5,7,7,55,14,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,3,1,4,3,71,14,1,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,9,9,10,25,12,1,"Germany","Male","A big city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,2,7,8,8,66,14,2,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,8,7,5,69,12,1,"Germany","Male","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,10,8,7,41,15,1,"Germany","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
2,2,7,6,6,22,15,2,"Germany","Female","A big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
3,3,3,3,3,32,15,3,"Germany","Female","Town or small city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
4,3,7,7,5,28,17,2,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
4,3,2,2,1,77,20,2,"Germany","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,8,7,5,51,15,1,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
1,1,8,9,9,63,14,2,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,7,7,5,77,13,1,"Germany","Male","Country village","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
2,2,7,6,5,69,17,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Técnica o Profesional"
3,2,5,1,7,78,11,2,"Germany","Female","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
2,2,5,6,6,47,19,1,"Germany","Male","Country village","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,7,8,6,68,3,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Sin Educación Formal"
1,2,4,7,8,25,16,2,"Germany","Female","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
3,4,7,3,3,38,9,1,"Germany","Male","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,2,5,6,5,26,20,1,"Germany","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Universitaria y Posgrado"
1,1,7,5,5,67,13,2,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,8,5,3,85,13,2,"Germany","Male","Suburbs or outskirts of big city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
3,2,7,7,7,48,11,1,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,2,0,1,0,40,8,4,"Germany","Female","Country village","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
2,2,3,4,3,37,16,1,"Germany","Male","Suburbs or outskirts of big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Técnica o Profesional"
1,1,7,9,8,23,16,1,"Germany","Female","Suburbs or outskirts of big city","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
1,1,9,8,6,57,20,2,"Germany","Female","A big city","Adultos (45-59)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,9,10,9,79,10,1,"Germany","Female","A big city","Ancianos (75-90)","Europa Occidental","Educación Primaria"
3,2,9,5,4,22,13,1,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Secundaria"
1,1,5,5,9,20,11,1,"Germany","Male","Town or small city","Jóvenes (15-29)","Europa Occidental","Educación Primaria"
4,4,1,1,0,73,13,1,"Germany","Female","Country village","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
3,3,5,8,6,52,10,2,"Germany","Female","Town or small city","Adultos (45-59)","Europa Occidental","Educación Primaria"
3,2,7,8,5,75,14,2,"Germany","Female","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Secundaria"
3,3,2,4,1,35,11,3,"Germany","Female","A big city","Adultos Jóvenes (30-44)","Europa Occidental","Educación Primaria"
3,4,7,3,3,50,15,1,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
3,3,6,6,5,69,12,2,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
1,1,3,7,7,22,16,1,"Germany","Female","Country village","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,3,0,0,4,70,11,2,"Germany","Female","A big city","Adultos Mayores (60-74)","Europa Occidental","Educación Primaria"
1,3,7,7,6,62,19,3,"Germany","Female","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Universitaria y Posgrado"
2,2,8,9,8,25,17,1,"Germany","Male","Country village","Jóvenes (15-29)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,7,6,84,16,2,"Germany","Male","Town or small city","Ancianos (75-90)","Europa Occidental","Educación Técnica o Profesional"
2,1,9,3,1,57,18,1,"Germany","Male","Town or small city","Adultos (45-59)","Europa Occidental","Educación Técnica o Profesional"
2,2,8,9,8,71,14,1,"Germany","Male","Town or small city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
2,2,5,5,5,58,13,2,"Germany","Female","Country village","Adultos (45-59)","Europa Occidental","Educación Secundaria"
3,4,1,1,1,74,12,1,"Germany","Female","Suburbs or outskirts of big city","Adultos Mayores (60-74)","Europa Occidental","Educación Secundaria"
